일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/10/05","289.05","0.78","0.27","293.87","294.47","287.44","138907.0","7289051.0","1.528199265E9"
"2022/10/04","288.27","6.91","2.46","286.25","288.96","285.42","120019.0","6053599.0","1.522328611E9"
"2022/09/30","281.36","-1.29","-0.46","281.75","284.35","278.39","143738.0","6233068.0","1.485351846E9"
"2022/09/29","282.65","-0.54","-0.19","286.60","287.81","282.56","128427.0","5584454.0","1.496674215E9"
"2022/09/28","283.19","-7.01","-2.42","287.66","289.75","280.80","160839.0","6903850.0","1.495225781E9"
"2022/09/27","290.20","0.43","0.15","290.27","290.75","286.76","152310.0","6310896.0","1.532256479E9"
"2022/09/26","289.77","-7.97","-2.68","293.65","293.96","289.01","177692.0","7088012.0","1.53009235E9"
"2022/09/23","297.74","-3.91","-1.30","301.48","302.09","296.85","114627.0","5178007.0","1.574446619E9"
"2022/09/22","301.65","-3.02","-0.99","300.67","302.19","299.30","114962.0","5170583.0","1.60274104E9"
"2022/09/21","304.67","-2.87","-0.93","305.09","306.07","303.77","104487.0","4651751.0","1.613975051E9"
"2022/09/20","307.54","1.05","0.34","308.76","309.98","306.79","96957.0","5034910.0","1.628879146E9"
"2022/09/19","306.49","-2.20","-0.71","309.58","309.89","305.68","101186.0","4835821.0","1.621194436E9"
"2022/09/16","308.69","-1.94","-0.62","308.58","309.54","307.03","135937.0","6618318.0","1.638856815E9"
"2022/09/15","310.63","-2.11","-0.67","313.15","313.84","310.63","111218.0","5471890.0","1.651182757E9"
"2022/09/14","312.74","-5.82","-1.83","310.08","313.94","309.06","118207.0","5655234.0","1.658854758E9"
"2022/09/13","318.56","9.44","3.05","313.93","319.37","313.93","150586.0","7313864.0","1.686469809E9"
"2022/09/08","309.12","0.96","0.31","310.23","310.51","308.26","149121.0","6672566.0","1.63974363E9"
"2022/09/07","308.16","-4.85","-1.55","310.86","311.10","306.69","146287.0","5829753.0","1.633993735E9"
"2022/09/06","313.01","0.54","0.17","313.36","314.97","311.69","91545.0","3871431.0","1.656994479E9"
"2022/09/05","312.47","-0.45","-0.14","313.09","315.22","310.91","112444.0","4622068.0","1.653784636E9"
"2022/09/02","312.92","-2.10","-0.67","316.46","316.74","312.18","133783.0","5748217.0","1.657249328E9"
"2022/09/01","315.02","-7.94","-2.46","318.74","318.76","315.02","183421.0","6519776.0","1.661907394E9"
"2022/08/31","322.96","3.47","1.09","316.96","323.37","316.26","228418.0","7833373.0","1.701517007E9"
"2022/08/30","319.49","3.14","0.99","317.97","320.00","316.94","133480.0","5027383.0","1.686419584E9"
"2022/08/29","316.35","-7.56","-2.33","317.45","317.47","315.48","203735.0","5945392.0","1.669793359E9"
"2022/08/26","323.91","0.28","0.09","325.36","326.59","323.30","188816.0","6340893.0","1.70763219E9"
"2022/08/25","323.63","3.77","1.18","321.58","323.63","320.81","130657.0","5386410.0","1.705313163E9"
"2022/08/24","319.86","1.17","0.37","320.15","320.99","318.16","156497.0","6378147.0","1.684277649E9"
"2022/08/23","318.69","-4.08","-1.26","320.85","321.50","318.26","118041.0","5363085.0","1.676439122E9"
"2022/08/22","322.77","-4.02","-1.23","323.29","324.42","321.83","93522.0","4321199.0","1.695934783E9"
"2022/08/19","326.79","-2.01","-0.61","329.06","329.08","326.34","125261.0","5304342.0","1.716293924E9"
"2022/08/18","328.80","-1.11","-0.34","327.47","329.94","326.06","101500.0","5463113.0","1.726978205E9"
"2022/08/17","329.91","-1.87","-0.56","332.11","333.24","329.30","105788.0","5324911.0","1.733198593E9"
"2022/08/16","331.78","1.11","0.34","332.68","333.47","331.08","131426.0","6302996.0","1.744597653E9"
"2022/08/12","330.67","0.75","0.23","329.23","331.12","329.07","138075.0","6205062.0","1.740632165E9"
"2022/08/11","329.92","5.57","1.72","328.20","329.92","327.74","140038.0","7386752.0","1.738570721E9"
"2022/08/10","324.35","-3.76","-1.15","326.30","326.43","323.86","134971.0","6197558.0","1.708089328E9"
"2022/08/09","328.11","0.88","0.27","327.21","328.62","325.28","121622.0","6912415.0","1.724857727E9"
"2022/08/08","327.23","-0.27","-0.08","326.05","327.45","325.21","113666.0","5987692.0","1.717101661E9"
"2022/08/05","327.50","2.03","0.62","326.71","328.47","326.36","119888.0","5820356.0","1.715748583E9"
"2022/08/04","325.47","1.67","0.52","326.11","326.40","324.38","110171.0","5647628.0","1.703416661E9"
"2022/08/03","323.80","2.16","0.67","321.48","323.80","320.25","93896.0","4992567.0","1.694993088E9"
"2022/08/02","321.64","-1.33","-0.41","322.64","322.85","320.21","113134.0","5168258.0","1.679523057E9"
"2022/08/01","322.97","-0.34","-0.11","322.14","324.31","320.86","111147.0","5412473.0","1.688176216E9"
"2022/07/29","323.31","1.69","0.53","324.38","325.83","321.95","163691.0","8284061.0","1.688785364E9"
"2022/07/28","321.62","1.88","0.59","322.89","323.73","320.76","131105.0","7108007.0","1.678141975E9"
